DNGid,uid,level,text,ref,links,active,derived,header,normative,reviewed,group
199109,ZEP001,1,Architecture Layer Interface,,,TRUE,,,FALSE,TRUE,Architecture Interface
199362,ZEP002,1.1,On supporting architectures the kernel architecture layer shall support multiprocessing management facilities,,,TRUE,,Multiprocessing Management Facility Architecture Layer,FALSE,TRUE,Architecture Interface
199869,ZEP003,1.1.1,The kernel architecture layer shall provide a mechanism to return a pointer to the current kernel CPU record of the running CPU,,,TRUE,,Return a pointer to current CPU record,TRUE,TRUE,Architecture Interface
199868,ZEP004,1.1.2,The kernel architecture layer shall provide a mechanism to issue an interprocessor interrupt to all other CPUs in the system that calls the scheduler IPI handler,,,TRUE,,Interprocessor interrupt to all other CPUs,TRUE,TRUE,Architecture Interface
199867,ZEP005,1.1.3,The kernel architecture layer shall provide a means to start non-boot CPUs on SMP systems,,,TRUE,,Start non-boot CPUs on SMP,TRUE,TRUE,Architecture Interface
199361,ZEP006,1.2,The kernel architecture layer shall expose means for the kernel to access hardware interrupts ,,,TRUE,,Hardware Interrupt Access,FALSE,TRUE,Architecture Interface
199865,ZEP007,1.2.1,The kernel architecture layer shall provide the ability to attach a specific C function to a specific named interrupt at run time,,,TRUE,,Attaching a specific C function to named interrupt,TRUE,TRUE,Architecture Interface
199861,ZEP008,1.2.2,The kernel architecture layer shall provide a mechanism to restore the local interrupt state saved prior to a mask operation.,,,TRUE,,Mechanism to restore local interrupt state,TRUE,TRUE,Architecture Interface
199863,ZEP009,1.2.3,The kernel architecture layer shall provide a mechanism to determine whether the current code is executing in an interrupt handler,,,TRUE,,Mechanism to determine code execution in interrupt handler,TRUE,TRUE,Architecture Interface
199862,ZEP010,1.2.4,The kernel architecture layer shall provide a mechanism to selectively disable and enable specific numeric interrupts.,,,TRUE,,Mechanism to disable and enable numeric interrupts,TRUE,TRUE,Architecture Interface
199860,ZEP011,1.2.5,The kernel architecture layer shall provide a mechanism to simultenously mask all local CPU interrupts and return the previous mask state for restoration,,,TRUE,,Mechanism to mask all local CPU interrupts,TRUE,TRUE,Architecture Interface
199866,ZEP012,1.2.6,The kernel architecture layer shall provide a means to raise an interrupt from thread code that will run a user-provided C function under the interrupt context ,,,TRUE,,Raise an interrupt from thread code,TRUE,TRUE,Architecture Interface
199864,ZEP013,1.2.7,The kernel architecture layer shall provide the ability to attach a specific C function to a specific named interrupt at build time,,,TRUE,,Attach a C function to interrupt at build,TRUE,TRUE,Architecture Interface
199365,ZEP014,1.3,The kernel architecture layer shall provide a mechanism for context switching between threads. ,,,TRUE,,Thread Context Switching Mechanism,FALSE,TRUE,Architecture Interface
199875,ZEP015,1.3.1,Thread context handles derived from context switches must be able to be restored upon interrupt exit,,,TRUE,,Thread context handle restoration,TRUE,TRUE,Architecture Interface
199876,ZEP016,1.3.2,Thread context handles derived from interrupt entry must be able to be restored by context switch  ,,,TRUE,,Interrupt entry to be restored by context switch,TRUE,TRUE,Architecture Interface
199363,ZEP017,1.4,The architecture layer shall provide utilites for managing the lifecycle of a running processor ,,,TRUE,,Utilities for Managing a Running Processor,FALSE,TRUE,Architecture Interface
199872,ZEP018,1.4.1,The kernel architecture layer shall provide a idle function to be run when the system has no work for the current CPU,,,TRUE,,Providing idle function to be run ,TRUE,TRUE,Architecture Interface
199870,ZEP019,1.4.2,The kernel architecture layer shall provide a 32 bit monotonically increasing cycle counter,,,TRUE,,32 bit increasing cycle counter,TRUE,TRUE,Architecture Interface
199871,ZEP020,1.4.3,The kernel architecture layer shall provide an initialization hook that runs after C startup,,,TRUE,,Initialization hook after C startup,TRUE,TRUE,Architecture Interface
199364,ZEP021,1.5,The kernel architecture layer shall enable handling of hardware exceptions,,,TRUE,,Hardware Exception Handling Architecture Layer,FALSE,TRUE,Architecture Interface
199874,ZEP022,1.5.1,The kernel architecture layer shall provide a single handler for hardware exceptions,,,TRUE,,Single handler for hardware exceptions,TRUE,TRUE,Architecture Interface
199873,ZEP023,1.5.2,The kernel architecture layer shall provide a mechanism to create a synchonous trap to a hardware exception handler,,,TRUE,,Create a synchronous trap to a hardware exception handler,TRUE,TRUE,Architecture Interface
199104,ZEP024,2,Asynchronous Scheduling,,,TRUE,,,FALSE,TRUE,Workqueues
199344,ZEP025,2.1,"The kernel shall provide a workqueue thread to process work items in a first in, first out manner.",,,TRUE,,Workqueue FIFO ,FALSE,TRUE,Workqueues
199773,ZEP026,2.1.1,A work item shall be supplied as a user-defined callback function,,,TRUE,,Work items,TRUE,TRUE,Workqueues
199771,ZEP027,2.1.2,"The kernel shall support scheduling a work item that is to be processed only after specified period of time, rather than immediately.",,,TRUE,,Scheduling a work item,TRUE,TRUE,Workqueues
199774,ZEP028,2.1.3,The kernel shall support resubmitting a work item during execution of its callback ,,,TRUE,,Resubmitting a work item,TRUE,TRUE,Workqueues
199770,ZEP029,2.1.4,The handler function of a work item shall be able to utilize any kernel API available to threads.,,,TRUE,,Handler function of work items,TRUE,TRUE,Workqueues
199769,ZEP030,2.1.5,An application shall be able to define any number of workqueues,,,TRUE,,Defining workqueues,TRUE,TRUE,Workqueues
199772,ZEP031,2.1.6,A workqueue may be created with a specific thread object supplied by the user upon initialization,,,TRUE,,Creating workqueues,TRUE,TRUE,Workqueues
199116,ZEP032,3,Atomic Operations,,,TRUE,,,FALSE,TRUE,Atomic Operations
199392,ZEP033,3.1,The system shall provide atomic APIs to manipulate memory without visibile intermediate state.,,,TRUE,,Atomic APIs,FALSE,TRUE,Atomic Operations
199933,ZEP034,3.1.1,The system shall provide an atomic clear function.,,,TRUE,,Atomic Clear Functions,TRUE,TRUE,Atomic Operations
199936,ZEP035,3.1.2,The system shall provide an atomic bitwise exclusive or function.,,,TRUE,,Atomic Bitwise exclusive or function,TRUE,TRUE,Atomic Operations
199925,ZEP036,3.1.3,The kernel shall support the atomic manipulation of a single bit in an array of atomic variables.,,,TRUE,,Atomic manipulation,TRUE,TRUE,Atomic Operations
199941,ZEP037,3.1.4,The system shall provide an atomic clear bit function.,,,TRUE,,Atomic Clear Bit Function,TRUE,TRUE,Atomic Operations
199943,ZEP038,3.1.5,The system shall provide an atomic set bit to function.,,,TRUE,,Atomic Set Bit Function,TRUE,TRUE,Atomic Operations
199934,ZEP039,3.1.6,The system shall provide an atomic bitwise or function.,,,TRUE,,"Atomic Bitwise ""or"" function",TRUE,TRUE,Atomic Operations
199926,ZEP040,3.1.7,The system shall provide an atomic compare-and-swap function,,,TRUE,,Atomic compare-and-swap function,TRUE,TRUE,Atomic Operations
199930,ZEP041,3.1.8,The system shall provide an atomic increment function.,,,TRUE,,Atomic increment function,TRUE,TRUE,Atomic Operations
199932,ZEP042,3.1.9,The system shall provide an atomic set function.,,,TRUE,,"Atomic ""set"" function",TRUE,TRUE,Atomic Operations
199942,ZEP043,3.1.10,The system shall provide an atomic set bit function.,,,TRUE,,Atomic set bit function,TRUE,TRUE,Atomic Operations
199939,ZEP044,3.1.11,The system shall provide an atomic test and clear bit function.,,,TRUE,,Atomic test and clear bit function,TRUE,TRUE,Atomic Operations
199935,ZEP045,3.1.12,The system shall provide an atomic bitwise and function.,,,TRUE,,"Atomic bitwise ""and"" function",TRUE,TRUE,Atomic Operations
199937,ZEP046,3.1.13,The system shall provide an atomic bitwise nand function.,,,TRUE,,"Atomic bitwise ""nand"" function",TRUE,TRUE,Atomic Operations
199931,ZEP047,3.1.14,The system shall provide an atomic decrement function.,,,TRUE,,Atomic decrement function,TRUE,TRUE,Atomic Operations
199927,ZEP048,3.1.15,The kernel shall support atomic operations on 32bit quantities ,,,TRUE,,32bit quantities atomic operations,TRUE,TRUE,Atomic Operations
199929,ZEP049,3.1.16,The system shall provide an atomic subtract function.,,,TRUE,,Atomic subtract function,TRUE,TRUE,Atomic Operations
199940,ZEP050,3.1.17,The system shall provide an atomic test and set bit function.,,,TRUE,,Atomic test and set function,TRUE,TRUE,Atomic Operations
199928,ZEP051,3.1.18,The system shall provide an atomic add function.,,,TRUE,,Atomic add function,TRUE,TRUE,Atomic Operations
199938,ZEP052,3.1.19,The system shall provide an atomic test bit function.,,,TRUE,,Atomic test bit function,TRUE,TRUE,Atomic Operations
199924,ZEP053,3.1.20,Any number of atomic variables can be defined.,,,TRUE,,Atomic variable definition,TRUE,TRUE,Atomic Operations
199110,ZEP054,4,C Library Support,,,TRUE,,,FALSE,TRUE,C Library
199366,ZEP055,4.1,The system shall provide a minimal C library implementation,,,TRUE,,Minimal C-Library,FALSE,TRUE,C Library
199877,ZEP056,4.1.1,The OS shall support linking with external and compatible C standard library implementations,,,TRUE,,Linking with external C libraries,TRUE,TRUE,C Library
199367,ZEP057,4.2,The system shall support external C library implementations ,,,TRUE,,External C-Library,FALSE,TRUE,C Library
199878,ZEP058,4.2.1,The OS shall provide a minimal C standard library implementation covering POSIX_C_LANG_SUPPORT from the POSIX standard (https://pubs.opengroup.org/onlinepubs/9699919799/xrat/V4_subprofiles.html),,,TRUE,,Minimal C library for POSIX,TRUE,TRUE,C Library
199879,ZEP059,4.2.2,"The OS shall support implementation defined hooks not provided by the C library implementation (low-level filesystem access, requests to enlarge its memory heap, getting the time of day, and various types of context management like process forking and killing. )",,,TRUE,,Defined hooks not provided by C library,TRUE,TRUE,C Library
199108,ZEP060,5,Data Structures Library Utilities,,,TRUE,,,FALSE,TRUE,Data Structures
199359,ZEP061,5.1,Zephyr shall provide a ring buffer data structure of arbitrary size,,,TRUE,,Ring Buffer Data Structure,FALSE,TRUE,Data Structures
199853,ZEP062,5.1.1,The ring buffer shall return an error if insufficient data is available to read,,,TRUE,,Ring buffer insufficient data error,TRUE,TRUE,Data Structures
199848,ZEP063,5.1.2,The OS shall support placing the ring buffer in any user-controlled memory,,,TRUE,,Ring buffer in user-controlled memory,TRUE,TRUE,Data Structures
199851,ZEP064,5.1.3,The ring buffer shall return an error if no space is available for an insert operation,,,TRUE,,Ring buffer error return,TRUE,TRUE,Data Structures
199849,ZEP065,5.1.4,The ring buffer shall be stored as a contiguous array of pointer-sized words,,,TRUE,,Ring buffer storage,TRUE,TRUE,Data Structures
199852,ZEP066,5.1.5,The ring buffer shall copy data out of the array from the beginning of the index-wrapped in-use data.,,,TRUE,,Ring buffer data copy out of array,TRUE,TRUE,Data Structures
199850,ZEP067,5.1.6,Ring buffer data shall be copied into the array at the end of the (index-wrapped) in-use data,,,TRUE,,Ring buffer data copy into array,TRUE,TRUE,Data Structures
199360,ZEP068,5.2,"Zephyr shall provide a balanced ""red/black"" tree data structure: rbtree.",,,TRUE,,rbtree Data Structure,FALSE,TRUE,Data Structures
199855,ZEP069,5.2.1,The rbtree node struct must be embeddedable in any user struct,,,TRUE,,Embeddedable rbtree node struct,TRUE,TRUE,Data Structures
199858,ZEP070,5.2.2,The rbtree must provide logarithmic time access to the minimum and maximum elements of the tree,,,TRUE,,Rtree logarithmic time access ,TRUE,TRUE,Data Structures
199859,ZEP071,5.2.3,"The rbtree shall provide a ""for each"" style iteration API",,,TRUE,,"Rbtree ""for each"" style iteration API",TRUE,TRUE,Data Structures
199854,ZEP072,5.2.4,"The rbtree must support any user-provided ""less than"" predicate function",,,TRUE,,"Rbtree ""less than"" predicate function",TRUE,TRUE,Data Structures
199857,ZEP073,5.2.5,The rbtree insert and remove operations must run in logarithmic time in the size of the tree,,,TRUE,,Rbtree insert and remove operations,TRUE,TRUE,Data Structures
